,period,description,temperature
0,ThisAfternoon,Sunny,High: 78 °F
1,Tonight,Mostly Clear,Low: 51 °F
2,Friday,Mostly Sunny,High: 75 °F
3,FridayNight,ShowersLikely,Low: 53 °F
4,Saturday,ShowersLikely,High: 62 °F
5,SaturdayNight,ChanceShowers andPatchy Fogthen PatchyFog,Low: 51 °F
6,Sunday,Patchy Fogthen Sunny,High: 68 °F
7,SundayNight,Mostly Clear,Low: 50 °F
8,Monday,Sunny,High: 74 °F
