,period,description,temperature
0,Tonight,Mostly Clear,Low: 51 °F
1,Friday,Mostly Sunny,High: 75 °F
2,FridayNight,ShowersLikely,Low: 53 °F
3,Saturday,ShowersLikely,High: 62 °F
4,SaturdayNight,ChanceShowers andPatchy Fogthen PatchyFog,Low: 51 °F
5,Sunday,Patchy Fogthen Sunny,High: 68 °F
6,SundayNight,Mostly Clear,Low: 50 °F
7,Monday,Sunny,High: 74 °F
8,MondayNight,Clear,Low: 52 °F
