,period,description,temperature
0,Today,Chance Rain,High: 67 °F
1,Tonight,Rain,Low: 55 °F
2,Monday,Rain,High: 63 °F
3,MondayNight,ChanceShowers,Low: 50 °F
4,Tuesday,ChanceShowers,High: 64 °F
5,TuesdayNight,ChanceShowers,Low: 48 °F
6,Wednesday,ShowersLikely,High: 62 °F
7,WednesdayNight,ChanceShowers,Low: 51 °F
8,Thursday,ChanceShowers,High: 65 °F
